Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1k1Bqnv2R0uJXQN4u6LKYt,"1ThoqLcyIYvZn7iWbj8fsj","Ain't No Sunshine","Just As I Am","Bill Withers",1971-05-01,125093,87,spotify:user:bill9119,2023-12-18T01:00:19Z,"classic soul,funk,quiet storm,soul",0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
7Cuk8jsPPoNYQWXK9XRFvG,"4QQgXkCYTt3BlENzhyNETg","September","September","Earth, Wind & Fire",2018-04-17,215080,68,spotify:user:bill9119,2023-12-18T00:20:17Z,"disco,funk,jazz funk,soul",0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,4
6Dk5fHTvH897XrVzCO64Mx,"4V4Z3qMCwYofWHtip6ePF6","What You Won't Do for Love","What You Won't Do for Love","Bobby Caldwell",1978,286493,80,spotify:user:bill9119,2024-01-06T01:00:57Z,"yacht rock",0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082,4
4KW1lqgSr8TKrvBII0Brf8,"5K4W6rqBFWDnAN6FQUkS6x","Father Stretch My Hands Pt. 1","The Life Of Pablo","Kanye West",2016-06-10,135920,91,spotify:user:bill9119,2023-11-28T19:24:51Z,"chicago rap,hip hop,rap",0.724,0.573,7,-4.113,1,0.0549,0.118,0,0.538,0.438,113.088,4
3M8FzayQWtkvOhqMn2V4T2,"1ThoqLcyIYvZn7iWbj8fsj","Lean on Me","Still Bill","Bill Withers",1972-05-01,258834,74,spotify:user:bill9119,2023-12-29T00:16:35Z,"classic soul,funk,quiet storm,soul",0.619,0.22,0,-13.843,1,0.0672,0.782,0.0000119,0.124,0.426,75.143,4
7rbECVPkY5UODxoOUVKZnA,"5K4W6rqBFWDnAN6FQUkS6x","I Wonder","Graduation","Kanye West",2007-09-11,243440,88,spotify:user:bill9119,2024-01-06T01:00:41Z,"chicago rap,hip hop,rap",0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385,4
5TRPicyLGbAF2LGBFbHGvO,"5K4W6rqBFWDnAN6FQUkS6x,7u6LfVyYpEzMpHLL7jTyvU","Flashing Lights","Graduation","Kanye West,Dwele",2007-09-11,237506,90,spotify:user:bill9119,2024-01-06T01:00:46Z,"chicago rap,hip hop,rap,neo soul,urban contemporary",0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,4
3s7MCdXyWmwjdcWh7GWXas,"5K4W6rqBFWDnAN6FQUkS6x","Violent Crimes","ye","Kanye West",2018-06-01,215320,85,spotify:user:bill9119,2024-01-06T00:54:31Z,"chicago rap,hip hop,rap",0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813,4
4ZLNj4Zlp6XZ3WAVpPQEnq,"5K4W6rqBFWDnAN6FQUkS6x,3nFkdlSjzX9mRTtwJOzDYB","Diamonds From Sierra Leone - Remix","Late Registration","Kanye West,JAY-Z",2005-01-01,233400,50,spotify:user:bill9119,2024-01-06T01:11:03Z,"chicago rap,hip hop,rap,east coast hip hop,gangster rap,pop rap",0.672,0.814,7,-3.768,1,0.27,0.258,0,0.164,0.379,97.043,4
3MLOAIJNWWS8FQpvdaiKR7,"2YZyLoL8N0Wb9xBt1NhZWg,3TVXtAsR1Inumwj472S9r4","Poetic Justice","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar,Drake",2012-10-22,300160,63,spotify:user:bill9119,2024-01-06T00:54:31Z,"conscious hip hop,hip hop,rap,west coast rap,canadian hip hop,canadian pop,pop rap",0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956,4
4s3RSUwPDxCeWaLEiNOPq3,"20wkVLutqVOYrc0kxFs7rA,7c0XG5cIJTrrAgEC3ULPiq","Homiesexual (with Ty Dolla $ign)","NEVER ENOUGH","Daniel Caesar,Ty Dolla $ign",2023-04-07,230379,59,spotify:user:bill9119,2024-01-06T01:00:53Z,"canadian contemporary r&b,hip hop,pop rap,r&b,southern hip hop,trap,trap soul",0.392,0.472,8,-10.745,0,0.0874,0.111,0.00000277,0.103,0.349,199.496,1
22L7bfCiAkJo5xGSQgmiIO,"5K4W6rqBFWDnAN6FQUkS6x","All Of The Lights","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,299613,82,spotify:user:bill9119,2024-01-06T01:10:54Z,"chicago rap,hip hop,rap",0.531,0.803,1,-3.284,1,0.0717,0.0796,0.0000171,0.176,0.221,142.113,4
0WtDGnWL2KrMCk0mI1Gpwz,"73sIBHcqh3Z3NyqHKZ7FOL","Redbone","Awaken, My Love!","Childish Gambino",2016-12-02,326933,86,spotify:user:bill9119,2024-01-06T01:10:56Z,"atl hip hop,hip hop,rap",0.745,0.353,1,-10.614,1,0.0983,0.174,0.00662,0.118,0.598,160.111,4
1tNJrcVe6gwLEiZCtprs1u,"6USv9qhCn6zfxlBQIYJ9qs","3 Nights","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,177666,77,spotify:user:bill9119,2024-01-16T23:57:44Z,"alternative pop rock,pov: indie",0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
1lORkxEMmsCZqhoxcmk3A3,"0hDjKSKjl1DC7ovYTDJHe8","Nothing","To Let A Good Thing Die","Bruno Major",2020-06-05,162797,78,spotify:user:bill9119,2023-10-12T21:35:58Z,"singer-songwriter pop",0.555,0.27,2,-15.892,1,0.0888,0.931,0.544,0.103,0.271,139.681,3
65krtHkaYLPr0mEbjL61UP,"47zz7sob9NUcODy0BTDvKx","Kiss of Life","The Best of Sade","Sade",1994-10-31,251333,75,spotify:user:bill9119,2024-01-06T01:00:38Z,"british soul,sophisti-pop",0.723,0.47,6,-11.302,0,0.028,0.633,0.0373,0.0968,0.783,97.107,4
